name,sku,category,quantity,price,cost
Wireless Barcode Scanner,WBS-001,Electronics,35,129.99,85.50
Industrial Pallet Jack,IPJ-002,Industrial Tools,12,499.00,310.00
Stackable Storage Bin Set,SSB-003,Packaging,120,45.99,25.30
LED Warehouse Light,LWL-004,Electronics,60,89.99,55.00
Office Ergonomic Chair,OEC-005,Furniture,25,189.00,110.00
Thermal Shipping Label Roll,TSL-006,Consumables,500,9.99,3.20
Forklift Tire Replacement,FTR-007,Vehicles & Parts,8,299.00,180.00
Heavy-Duty Plastic Pallet,HDP-008,Packaging,45,65.50,40.00
Steel Storage Rack 5-Shelf,SSR-009,Furniture,18,249.99,160.00
Warehouse Safety Helmet,WSH-010,Industrial Tools,75,22.99,11.00
Handheld Inventory Terminal,HIT-011,Electronics,14,649.00,430.00
Bubble Wrap Roll 50m,BWR-012,Packaging,210,14.99,7.50
Shipping Tape 48mm x 100m,STP-013,Consumables,350,4.49,1.80
Adjustable Workbench,AWB-014,Furniture,9,329.00,220.00
Rechargeable Flashlight,RFL-015,Electronics,60,29.99,15.00
Steel Trolley Cart,STC-016,Industrial Tools,20,189.50,120.00
Printer Ink Cartridge Black,PIB-017,Office Supplies,85,39.99,18.00
Cardboard Box 40x40x40,CBX-018,Packaging,400,2.49,0.90
First Aid Kit Industrial,FAK-019,Consumables,40,59.99,28.00
Warehouse Security Camera,WSC-020,Electronics,10,279.00,180.00
